CSRTSV3  2021-05-03 09:43:23.971| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCAACallback</cmp>, <id>0x00004001</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.971| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCAACanL2</cmp>, <id>0x00004004</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.971| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCAADTUtil</cmp>, <id>0x00004013</id> <ver>3.5.16.10</ver>
CSRTSV3  2021-05-03 09:43:23.971| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCAAFile</cmp>, <id>0x00004008</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.971| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCAAMemBlockMan</cmp>, <id>0x00004003</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.971| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCAANetBaseServices</cmp>, <id>0x00004018</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.971| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCAARealTimeClock</cmp>, <id>0x00004014</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.971| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCAASdoClient</cmp>, <id>0x00004011</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.972| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCAASdoServer</cmp>, <id>0x00004017</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.972| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCAASegBufferMan</cmp>, <id>0x00004019</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.972| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCAASerialCom</cmp>, <id>0x00004012</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.972| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCAAStorage</cmp>, <id>0x0000007e</id> <ver>3.5.16.20</ver>
CSRTSV3  2021-05-03 09:43:23.972| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCAATick</cmp>, <id>0x00004009</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.972| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCAATickUtil</cmp>, <id>0x00004010</id> <ver>3.5.16.0</ver>
